scan_id,broker,pair,rate_type,qty,buy,sell
000000010,InternetowyKantor,USDPLN,unit price,1,45021,45321
000000010,InternetowyKantor,GBPPLN,unit price,1,53517,53917
000000010,InternetowyKantor,NOKPLN,unit price,1,4505,4565
000000010,Cinkciarz,CHFPLN,50K price,1,47673,47930
000000010,Cinkciarz,EURPLN,50K price,1,46712,46977
000000010,Cinkciarz,GBPPLN,50K price,1,53554,53846
000000010,Cinkciarz,USDPLN,50K price,1,45024,45281
000000010,Cinkciarz,NOKPLN,50K price,1,4502,4564
000000010,Cinkciarz,CHFPLN,unit price,1,47598,47991
000000010,Cinkciarz,EURPLN,unit price,1,46656,47045
000000010,Cinkciarz,GBPPLN,unit price,1,53491,53907
000000010,Cinkciarz,USDPLN,unit price,1,44978,45351
000000010,Cinkciarz,NOKPLN,unit price,1,4502,4564
000000011,InternetowyKantor,EURPLN,unit price,1,46730,47030
000000011,InternetowyKantor,CHFPLN,unit price,1,47733,48133
000000011,InternetowyKantor,USDPLN,unit price,1,45049,45349
000000011,InternetowyKantor,GBPPLN,unit price,1,53533,53933
000000011,InternetowyKantor,NOKPLN,unit price,1,4507,4567
000000011,Cinkciarz,CHFPLN,50K price,1,47680,47936
000000011,Cinkciarz,EURPLN,50K price,1,46730,46994
000000011,Cinkciarz,GBPPLN,50K price,1,53566,53859
000000011,Cinkciarz,USDPLN,50K price,1,45046,45303
000000011,Cinkciarz,NOKPLN,50K price,1,4504,4566
000000011,Cinkciarz,CHFPLN,unit price,1,47596,48000
000000011,Cinkciarz,EURPLN,unit price,1,46666,47055
000000011,Cinkciarz,GBPPLN,unit price,1,53497,53916
000000011,Cinkciarz,USDPLN,unit price,1,44991,45364
000000011,Cinkciarz,NOKPLN,unit price,1,4504,4565
000000012,InternetowyKantor,EURPLN,unit price,1,46731,47032
000000012,InternetowyKantor,CHFPLN,unit price,1,47730,48130
000000012,InternetowyKantor,USDPLN,unit price,1,45056,45355
000000012,InternetowyKantor,GBPPLN,unit price,1,53529,53929
000000012,InternetowyKantor,NOKPLN,unit price,1,4507,4567
000000012,Cinkciarz,CHFPLN,50K price,1,47685,47939
000000012,Cinkciarz,EURPLN,50K price,1,46733,46997
000000012,Cinkciarz,GBPPLN,50K price,1,53564,53856
000000012,Cinkciarz,USDPLN,50K price,1,45061,45317
000000012,Cinkciarz,NOKPLN,50K price,1,4505,4566
000000012,Cinkciarz,CHFPLN,unit price,1,47617,48009
000000012,Cinkciarz,EURPLN,unit price,1,46670,47059
000000012,Cinkciarz,GBPPLN,unit price,1,53501,53918
000000012,Cinkciarz,USDPLN,unit price,1,45001,45374
000000012,Cinkciarz,NOKPLN,unit price,1,4505,4566
000000013,InternetowyKantor,EURPLN,unit price,1,46726,47026
000000013,InternetowyKantor,CHFPLN,unit price,1,47730,48130
000000013,InternetowyKantor,USDPLN,unit price,1,45041,45340
000000013,InternetowyKantor,GBPPLN,unit price,1,53521,53921
000000013,InternetowyKantor,NOKPLN,unit price,1,4507,4567
000000013,Cinkciarz,CHFPLN,50K price,1,47680,47938
000000013,Cinkciarz,EURPLN,50K price,1,46721,46986
000000013,Cinkciarz,GBPPLN,50K price,1,53561,53854
000000013,Cinkciarz,USDPLN,50K price,1,45041,45298
000000013,Cinkciarz,NOKPLN,50K price,1,4504,4566
000000013,Cinkciarz,CHFPLN,unit price,1,47613,48005
000000013,Cinkciarz,EURPLN,unit price,1,46659,47048
000000013,Cinkciarz,GBPPLN,unit price,1,53497,53914
000000013,Cinkciarz,USDPLN,unit price,1,44980,45354
000000013,Cinkciarz,NOKPLN,unit price,1,4504,4566
000000014,InternetowyKantor,EURPLN,unit price,1,46725,47025
000000014,InternetowyKantor,CHFPLN,unit price,1,47731,48131
000000014,InternetowyKantor,USDPLN,unit price,1,45034,45334
000000014,InternetowyKantor,GBPPLN,unit price,1,53531,53930
000000014,InternetowyKantor,NOKPLN,unit price,1,4507,4567
000000014,Cinkciarz,CHFPLN,50K price,1,47676,47937
000000014,Cinkciarz,EURPLN,50K price,1,46724,46989
000000014,Cinkciarz,GBPPLN,50K price,1,53566,53863
000000014,Cinkciarz,USDPLN,50K price,1,45035,45293
000000014,Cinkciarz,NOKPLN,50K price,1,4504,4566
000000014,Cinkciarz,CHFPLN,unit price,1,47615,48004
000000014,Cinkciarz,EURPLN,unit price,1,46661,47050
000000014,Cinkciarz,GBPPLN,unit price,1,53500,53926
000000014,Cinkciarz,USDPLN,unit price,1,44977,45351
000000014,Cinkciarz,NOKPLN,unit price,1,4505,4566
000000015,InternetowyKantor,EURPLN,unit price,1,46726,47026
000000015,InternetowyKantor,CHFPLN,unit price,1,47728,48128
000000015,InternetowyKantor,USDPLN,unit price,1,45041,45340
000000015,InternetowyKantor,GBPPLN,unit price,1,53517,53917
000000015,InternetowyKantor,NOKPLN,unit price,1,4507,4567
000000015,Cinkciarz,CHFPLN,50K price,1,47685,47941
000000015,Cinkciarz,EURPLN,50K price,1,46724,46989
000000015,Cinkciarz,GBPPLN,50K price,1,53557,53849
000000015,Cinkciarz,USDPLN,50K price,1,45043,45301
000000015,Cinkciarz,NOKPLN,50K price,1,4505,4567
000000015,Cinkciarz,CHFPLN,unit price,1,47617,48005
000000015,Cinkciarz,EURPLN,unit price,1,46662,47051
000000015,Cinkciarz,GBPPLN,unit price,1,53495,53912
000000015,Cinkciarz,USDPLN,unit price,1,44984,45358
000000015,Cinkciarz,NOKPLN,unit price,1,4505,4567
000000016,InternetowyKantor,EURPLN,unit price,1,46726,47026
000000016,InternetowyKantor,CHFPLN,unit price,1,47728,48128
000000016,InternetowyKantor,USDPLN,unit price,1,45027,45327
000000016,InternetowyKantor,GBPPLN,unit price,1,53515,53915
000000016,InternetowyKantor,NOKPLN,unit price,1,4508,4568
000000016,Cinkciarz,CHFPLN,50K price,1,47683,47938
000000016,Cinkciarz,EURPLN,50K price,1,46724,46989
000000016,Cinkciarz,GBPPLN,50K price,1,53554,53846
000000016,Cinkciarz,USDPLN,50K price,1,45030,45287
000000016,Cinkciarz,NOKPLN,50K price,1,4505,4567
000000016,Cinkciarz,CHFPLN,unit price,1,47615,48004
000000016,Cinkciarz,EURPLN,unit price,1,46662,47051
000000016,Cinkciarz,GBPPLN,unit price,1,53491,53912
000000016,Cinkciarz,USDPLN,unit price,1,44974,45348
000000016,Cinkciarz,NOKPLN,unit price,1,4505,4567
000000017,InternetowyKantor,EURPLN,unit price,1,46724,47024
000000017,InternetowyKantor,CHFPLN,unit price,1,47728,48128
000000017,InternetowyKantor,USDPLN,unit price,1,45018,45317
000000017,InternetowyKantor,GBPPLN,unit price,1,53513,53913
000000017,InternetowyKantor,NOKPLN,unit price,1,4507,4567
000000017,Cinkciarz,CHFPLN,50K price,1,47680,47943
000000017,Cinkciarz,EURPLN,50K price,1,46721,46986
000000017,Cinkciarz,GBPPLN,50K price,1,53557,53849
000000017,Cinkciarz,USDPLN,50K price,1,45019,45275
000000017,Cinkciarz,NOKPLN,50K price,1,4504,4566
000000017,Cinkciarz,CHFPLN,unit price,1,47614,48010
000000017,Cinkciarz,EURPLN,unit price,1,46659,47048
000000017,Cinkciarz,GBPPLN,unit price,1,53492,53909
000000017,Cinkciarz,USDPLN,unit price,1,44961,45335
